ET  1. 187.
ET  2. 186.
ET  3. 187.
ET  4. 186.
ET  5. 187.
ET  6. 186.
ET  7. 187.
ET  8. 186.
ET  9. 187.
ET 10. 186.
ET 11. 187.
ET 12. 186.
ET 13. 154.

 LIST ALL SELECTED NODES.   DSYS=      0

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.2     18.2     ***
 DISTRIBUTED ANSYS Academic Teaching Advanced                  

 00396707  VERSION=WINDOWS x64   19:58:17  MAR 27, 2018 CP=     11.250

 Fricke&Doerk--Static Structural (B5)                                          



   NODE        X                   Y                   Z
       30   -94.5433349000         3.00274269100         10.4050089500     
       31   -83.8718411000         3.56189667900         30.6424809900     
       32   -62.5467032400         3.31348270700         77.3652900300     
       33   -32.0799772800         5.07970213600         10.6014522600     
       34   -33.8377695400         2.67736932800         10.7101721900     
       35   -100.355434300         1.88914764100         11.3956093500     
       36   -128.766512000         2.94851431600         7.32088089100     
       37   -30.3702504300         2.59623454000         9.44087979000     
       38   -45.5123277700         3.49952984000         10.7613738400     
       39   -109.050956700         2.93300509500         34.1873574000     
       40   -72.3799434900         3.00000000000         78.2230679000     
       41   -48.6645104200         5.08710054900         8.74732741700     
       42   -62.5971975700         2.32248963700         54.0916506100     
       43   -37.6295690700         3.45821663600         22.3652138400     
       44   -97.1110578100         4.08800447500         15.6349817600     
       45   -50.0187559400         2.95000913200         10.5254309000     
       46   -109.503125700         1.77817050000         25.7365283700     
       47   -74.3022052200         1.89860553900         9.68967835500     
       48   -34.5727827300         5.95024500900         9.46074835100     
       49   -59.8852900700         2.54246627000         10.3903428500     
       50   -117.163234400         3.69059085300         8.89636368900     
       51   -65.1741623100         3.11267613500         10.5895745400     
       52   -36.9225922700         3.34114297600         10.0945753900     
       53   -40.9745950600         3.21419150200         10.4322244300     
       54   -55.2701333100         3.04564755600         10.3080472600     
       55   -112.521165900         4.52650072000         9.82075227000     
       56   -86.9821436400         4.79946314700         10.8439003100     
       57   -98.6151151300         3.04279230400         10.2058337900     
       58   -100.570468800         2.57142857100         39.1050506800     
       59   -72.7935326700         4.30440005600         10.2866771100     
       60   -109.302692400         4.15809983100         9.67433953300     
       61   -46.3447216700         4.84267532100         9.69691804500     
       62   -115.442515400         3.63424431000         7.74182464000     
       63   -58.8786657000         4.90677945200         10.4489017200     
       64   -79.6134049000         2.75736194900         10.1023236300     
       65   -69.9516788400         3.31909458200         10.6322554300     
       66    185.028163700         5.52684158000        0.473629763500E-002
       67    175.067080000         4.99999994400        0.377469000800E-003
       68    165.094330700         4.99999994300        0.171836895400E-003
       69    194.802223600         44.7025568000       -0.352789471100     
       70    194.409977700         34.9641880400       -0.150633370900     
       71   -160.107320300         25.0337496000         1.02218571000     
       72    194.424561100         15.0133175700       -0.100315770700     
       73   -109.998651100         40.1772470300        -1.05987567100     
       74    195.000228100         25.0112993700       -0.232750788600E-002
       75    189.571406500         10.4131025800         2.17432255400     
       76   -165.015005300         40.1602101600        -1.05877233600     
       77   -90.0220077900         30.6622593400         1.11974742200     
       78   -170.051155400         25.0060451500         1.01266602900     
       79   -170.000000000         30.0000000000         1.00771586400     
       80    5.00000000000         40.0000000000       -0.990015661300     
       81    45.4670954600         10.0000504900        0.993384248100     
       82   -104.979473600         35.3756277000        -1.09102994700     
       83    155.121615400         4.99999994300        0.715557632700E-004
       84    185.000000000         30.0000000000        -1.00114816600     
       85    130.000000000         40.0000000000       -0.990000000000     
       86    45.1421900300         25.0042440800        0.998605857000     
       87    70.0895803200         25.0016375400        -1.00096957700     
       88    35.0000000000         30.0000000000         1.00083750100     
       89    130.000000000         35.0000000000       -0.999917415100     
       90   -50.0000000000         40.0000000000        -1.01576857200     
       91   -20.0000000000         40.0000000000       -0.990180664800     
       92    40.1061132000         25.0018658700        0.999049706300     
       93    180.000000000         30.0000000000        -1.00194427900     
       94   -59.9221344200         35.2657321200        -1.06946800600     
       95    50.4597973100         10.0000378500        0.995346424200     
       96    185.000000000         25.0000000000        -1.00261344000     
       97    175.000000000         30.0000000000        -1.00082513100     
       98    15.0000000000         40.0000000000       -0.989976265600     
